Location,Signal Strength (dBm),Download Speed (Mbps),Upload Speed (Mbps),Latency (ms),Jitter (ms),Network Type,Device Model,Carrier,Band,Battery Level (%),Temperature (°C),Connected Duration (min),Handover Count,Data Usage (MB),Video Streaming Quality,VoNR Enabled,Network Congestion Level,Ping to Google (ms),Dropped Connection
San Francisco,-108.6,714.94,60.41,10,4.09,5G NSA,iPhone 14,AT&T,n78,99,35.5,14,1,97.4,4,FALSE,High,27.9,TRUE
San Francisco,-71.5,686.69,148.7,12.3,1.5,4G,Pixel 7,AT&T,n260,67,22,51,4,143.23,3,TRUE,Medium,22.2,FALSE
Chennai,-76.1,428.14,74,14,0.1,5G SA,Galaxy S23,BSNL,n78,26,40.8,48,3,425.53,2,TRUE,Low,36.6,FALSE
New York,-73.3,208.56,68.59,12.2,4.94,4G,Pixel 7,T-Mobile,n41,25,39.3,48,0,128.87,4,FALSE,High,87.5,FALSE
Kolkata,-93.2,409.85,137.23,6.3,2.94,5G NSA,Galaxy S23,BSNL,n28,51,22.7,54,4,156.91,1,TRUE,Medium,32.5,TRUE
Mumbai,-83.9,441.15,75.7,11.9,0.1,4G,Nord 4,Vi,n78,49,44,43,1,35.5,1,TRUE,Low,92.7,TRUE
Chennai,-89.4,623.27,79.46,2.8,3.69,5G SA,Nord 4,Vi,n258,17,31.4,59,2,96.21,5,FALSE,High,54.7,FALSE
Tokyo,-65.9,828.31,23.78,8.7,0.27,4G,iPhone 14,AT&T,n41,18,35.6,32,2,338.17,1,FALSE,High,78.9,TRUE
Berlin,-90.7,630.53,92.39,15.9,0.56,5G SA,Galaxy S23,AT&T,n260,71,37.7,45,4,313.44,4,TRUE,Medium,85.1,TRUE
San Francisco,-68.9,924.46,67.7,1.9,0.1,5G NSA,Pixel 7,Verizon,n260,31,30.8,43,2,13.6,2,TRUE,Low,95.1,TRUE
Kolkata,-70.1,319.32,83.59,12.6,0.1,4G,Pixel 7,Airtel,n28,70,24.6,9,4,188.9,4,FALSE,Low,11.2,TRUE
Mumbai,-94.8,109.06,34.91,14.9,3,5G SA,iPhone 14,Vi,n78,29,21.9,14,3,358.12,2,TRUE,Medium,41.3,TRUE
Delhi,-101,906.47,104.85,4.3,4.63,4G,Galaxy S23,Vi,n28,99,29.3,27,2,421.63,4,TRUE,,29.1,FALSE
